cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
shen_51171,51171,82.7252,67.2206,91.1278,21.0542,-85.5782,88.2748,173.853,Net Loss,0.0249,0,0.0249
buen_51530,51530,4.1612,0.7966,12.3915,1.1681,-14.588,1.9647,16.5527,Net Loss,0.0027,0.0185,0.0212
pete_51730,51730,8.5259,9.3404,13.0689,9.9174,-2.337,19.2578,21.5948,Net Loss,0.0156,0,0.0156
lexi_51678,51678,8.5497,0.2868,12.575,0.3635,-20.4744,0.6503,21.1247,Net Loss,0,0.0153,0.0153
clar_51043,51043,30.3915,9.4488,37.662,17.9645,-40.6402,27.4133,68.0535,Net Loss,0.0151,0,0.0151
alle_24001,24001,196.5305,18.3047,98.5014,30.4333,-246.2939,48.738,295.0319,Net Loss,0.0116,0,0.0116
winc_51840,51840,20.8329,10.2794,14.1795,8.4076,-16.3254,18.687,35.0124,Net Loss,0.0071,0,0.0071
will_51830,51830,8.9045,1.391,7.7401,2.201,-13.0526,3.592,16.6446,Net Loss,0.0064,0,0.0064
jeff_54037,54037,31.1519,16.1961,100.8466,42.9392,-72.8632,59.1353,131.9985,Net Loss,0,0.0062,0.0062
fred_51630,51630,18.6424,6.3675,24.2844,6.9693,-29.59,13.3368,42.9268,Net Loss,0.004,0,0.004
fair_51600,51600,6.4191,5.1416,13.4073,5.0072,-9.6776,10.1488,19.8264,Net Loss,0.0017,0,0.0017
alex_51510,51510,3.0226,14.9055,4.8049,10.8004,17.8784,25.7059,7.8275,Net Gain,0,0,0
arli_51013,51013,8.9487,20.6317,25.4686,15.1168,1.3312,35.7485,34.4173,Net Gain,0,0,0
bedf_51515,51515,10.6072,2.5937,9.8808,8.4755,-9.4188,11.0692,20.488,Net Loss,0,0,0
carb_42025,42025,81.3805,7.2475,50.6579,25.3055,-99.4854,32.553,132.0384,Net Loss,0,0,0
covi_51580,51580,1.1273,0.5098,25.1657,1.2382,-24.545,1.748,26.293,Net Loss,0,0,0
fall_51610,51610,5.7337,1.5996,1.5211,0.9552,-4.7,2.5548,7.2548,Net Loss,0,0,0
harr_51660,51660,33.101,13.7427,24.0313,14.3569,-29.0327,28.0996,57.1323,Net Loss,0,0,0
mana_51685,51685,2.5061,1.3831,4.347,3.6258,-1.8442,5.0089,6.8531,Net Loss,0,0,0
morg_54065,54065,12.6611,10.7227,94.4034,14.5926,-81.7492,25.3153,107.0645,Net Loss,0,0,0
rand_54083,54083,42.2386,9.6333,122.6198,15.0021,-140.223,24.6354,164.8584,Net Loss,0,0,0
roan_51770,51770,27.9869,47.949,19.2593,47.4213,48.1241,95.3703,47.2462,Net Gain,0,0,0
sale_51775,51775,10.6888,10.8361,8.4237,14.6358,6.3594,25.4719,19.1125,Net Gain,0,0,0
tuck_54093,54093,7.1521,8.0948,3.5856,10.2785,7.6356,18.3733,10.7377,Net Gain,0,0,0
wayn_51820,51820,4.5316,6.065,2.1746,10.7393,10.0981,16.8043,6.7062,Net Gain,0,0,0
